牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
理由 德国 新冠 肺炎 确诊 病例 累计 达 18607例 前一日 15218例 原始 用户 观察者网 内容  最后的莫西干人 音质 版本 穿透 灵魂 音乐 ！YouTube 热门 微博 视频 ######明早 会不会 变 两万 	明天 破 两万 	苍凉， 孤独 悲壮 搞笑 那位 拿着 冰淇淋 费劲 打开 折叠 椅子 老太太  ######nonrumor
台湾 热点 视频 違 反 咆哮 出門 加 門子 油 出門 弄 那個腦殼給誰 ？】 為 抗擊 新 冠 疫情 意大利政府 採取 一系列 政策 聚會 公民 3月11日 17 日期 間， 意大利 警方 攔截並檢 查 70萬名 外出 公民 發現 4.3萬 違 反 “封城” 禁令 。這 讓 市 長氣 七竅生煙。當 時間 16日 ，這位市長情緒激動 地上 傳 一則 咆哮 暴走 視頻 ：“ 聽說 會 起來， 我們 出門 買 東西， 麼 會 來？ 買 嗎？”“ 加油站 加油 ，這 麼 會 來？ 出門 加 門子 油 市民 吵 著 出門 弄 髮型 說“ 出門 個腦殼給誰 ”（視頻來源：一個 搞搞 神） # 湖北 清零 数据 报 员 哭 全球 抗疫 第一线 意大利 封闭 全国 搞笑视频 特朗普 自称 战时 总统 关注 新 冠 肺炎 河南 村长 欧洲杯 推迟 2021年  t.cn 6z8 wig ######	苦口婆心 	意大利 人像 中国 难为 骚情勃勃 意大利人 ######nonrumor
Houson猴姆 NBC 新闻 员工 感染 新冠 肺炎 去世 ！据NBC 确认 新闻 频道 一名 长期 音响师 感染 新冠 肺炎 昨天 去世 妻 透露 基础病 。NBC 离世 感到 难过 部门 工作 长达 25年 一名 熟练 音响师 电视台 均有 员工 感染 新 冠肺炎。 组图 2张  原图 ######	RIP  生命 可贵 	######nonrumor
内蒙古 反 邪教 德国 日 增 确诊 病例 3千# 巴伐利亚州 颁布 机构 罗伯特·科赫 研究所 所长 威勒 20日 ，# 德国 日 增 确诊 病例 2985例 累计 13957例 上报 该所 死亡 病例 31例 前一日 增加 11例 当天 巴伐利亚州 州长 索德尔 该州 居民 未来14天 正当 理由 出门 该州 德国 首个 颁布 “禁足令” 联邦州 。　　“ 禁 足令 20日晚间 实施 在此 期间 居民 工作 必要采购、 就医 买 药、 探视 生活 伴侣 户外运动 之外 走出 家门 户外运动 限 家人 同行 。违者 面临 罚款 新华网） ######德国 日 增 确诊 病例 3千# 巴伐利亚州 颁布 “禁足令”】 	德国 日 增 确诊 病例 3千# 巴伐利亚州 颁布 “禁足令”】 内蒙古 反 邪教 	德国 日 增 确诊 病例 3千# 巴伐利亚州 颁布 “禁足令”】 内蒙古 反 邪教 ######nonrumor
话 兰州 ，# 隔 玻璃 亲吻 女 护士 男友 领证 祝福 隔着 玻璃 一吻” 感动 网友 护士 陈颖， 结婚 。大年 初一 浙大四院 陈颖 接到 护士长 通知 紧急 赶回 医院 参加 培训 一线 救治 新 冠 肺炎 病人 男友 黄千瑞 默默 支持 拥抱 、亲吻， 另一种 方式 陪伴 两人 约定 疫情 结束 第一件 事 领证 抗疫 推迟 36 天， 心愿 终于 ######	占 位置 	你好 ######nonrumor
台湾 热点 视频 中國獨自抗疫時 中方 坚决反对 中国 抗疫 污名化 全球 抗疫 第一线 特朗普 自称 战时 总统 关注 新冠 肺炎 意大利 封闭 全国 欧洲机场 马云 捐赠 礼遇 美国 疫情 火神山医院 完工  香港中通社 微博 视频 ######马后炮，真香 	瑞士 ？？？ 	RT 战争力 ######nonrumor
新浪科技 英国 吹 哨人 确诊 新 冠肺炎#， 发 报告 改变 英美 消极 抗疫 策略 3月19日 英国 流行病学 专家 确诊 感染 新 冠病毒， 发热咳嗽症状， 自我 隔离 团队 提交 预测 报告 改变 英国 美国 抗疫 策略 报告 预计 政府 “延缓策略”， 最终 导致 英国 25 万人 死亡 美国 110万 120 万人 死亡 。然而， 阻断 策略 包括 社交 距离 病例 病例 家属 隔离 英国 总 死亡 人数 大幅 降至 万人 ######正经 病毒 学家 已知 事实 情况 做出 数据 分析 评论 区 位 就让 眼科 李医生 安息吧。 	似曾相识 剧情 不治 逝世 	嘴上 哨吹 烂 没用 ######nonrumor
愿望 天天 开心 qwq 肺炎 什么时候 结束 真 吐 ######回复 小月 吃 		######nonrumor
西班牙语 新闻 一位 教授 兼 副校长 感染 新 冠病毒肺炎 去世 死亡 太 全球 疫情 疫情 西班牙  组图 2张  原图 ######武汉 去世 professor  院士 		######nonrumor
白菜 价 美国 西雅图 淪陷，西雅 圖 1名 員工確診，办公室 关闭 新闻 原图 ######回复 派 吹客Patrick 找 熟 ？！ 一副 狂犬病 模样 	回复 派 吹客Patrick 喜欢 中国 滚 有人 刀架 走 ？台杂湾湾 正好 适合 	美国 美国 美国 美国 美国 美国 美国 美国 美国 美国 美国 美国 美国 流感# #台灣肺炎 ######nonrumor
央视 新闻 【直播！ 记者 观察 美国加州 紧急状态 当地时间 3月4日 美国加利福尼亚州 紧急状态 ，加州 累计 确诊 53例 新 冠 肺炎 病例 1例 死亡 华人 社区 情况 直播 关注 央视 记者 刘骁骞 央视 新闻 微博 视频  ######特朗普 	特朗普 问 懂 	当初 信息 公开 公开 ######nonrumor
沈阳 sz1961sy 数据 才是 4000多 患者 3000多 救治 ）【 致敬 疫情 面前 军队 】， 分享 致敬 疫情 面前 微博 旅行 肺炎 全球 风险 级别 调 高 新冠 零号 病人 到底是谁  组图 9张  原图 ######回复 白菜助手菌 	一发 微博 	######nonrumor
陈九霖 全球 新冠 肺炎 死亡率 中国 排名 美国 占 7.4% 美国 纽约州 州长 呼吁 戴口罩 医院 称 80% 新 冠肺炎 患者 自愈 新 冠 肺炎 比喻 “流感”。 新 冠 肺炎 死亡率 排名 美国 韩国 日本 、意大利 伊朗 死亡率 菲律宾 占 33.33%  原图 ######真假 数据 之间 可比性 	死亡率 朝鲜 	真好 笑 ，菲 公布 确诊 三人 死亡 一人 认定 菲 死亡率  百分之33.33 ######nonrumor
油惠君 日本 超话 【安倍：# 中韩 入境 日本 隔离 14天 发 签证 暂时 失效 3月5日 日本 首相 安倍晋三 新 冠 肺炎 边检 中韩 两国 入境者 隔离 14天 公共交通 工具 两国 公民 日本 签证 暂时 失效 日本政府 暂停 相关 游船 客运 两国 飞机 抵达 机场 日本 签证  ######回复 花 爱丽丝08376 	回复 花 爱丽丝08376 国外 事态 质疑 防控 	回复 花 爱丽丝08376 国外 事态 升级 ######nonrumor
黄山 新鲜事 甘肃 新增 11例 境外 输入 病例  累计 确诊 102例 3月4日20时 3月5日20时 甘肃 新增 病例 截止 3月5日20时 甘肃 累计 报告 新型 冠状病毒肺炎 确诊 病例 91例 累计 治愈 出院 87例 累计 死亡 病例 2例 现有 2例 定点医院 隔离 治疗 兰州市 1例 、定西市 1例 甘肃 无疑似 病例 甘肃 累计 追踪 解除 医学 观察 4259 78 接受 医学 观察 3月2日20时 3月5日20时 311 商业 包机 伊朗 到达 兰州 隔离 3月5日 新增 11例 境外 输入 确诊 病例 省级 定点医院 隔离 治疗 病情 平稳 新增 境外 输入 接触者 300 38 省级 定点医院 隔离 留 观， 262 隔离 点 隔离， 进一步 医学 检测 检查 显示 地图 ######回复 热心 市民 胡女士 111 听说 不知 真假 	回复 热心 市民 胡女士 111 非 确诊 谣言 传谣 信谣。 防范 	听说 屯溪 疑似 韩国 回来 代购， 发热， 希望 官 微 证实 谣传 ######nonrumor
中国教育电视台 中考 记叙文 润色 提升 出征 例 分析 】“ 感情 文采 波澜 有点睛 高分 记叙文 共有 北京三帆中学 鲁媛 老师 新冠 肺炎 疫情 发生 一篇 记叙文 出征 例 重点 讲解 ，文 中 以小见 大、 细节 描写 回忆 联想、 修辞 直抒胸臆、 环境 烘托 手法 提升 记叙文 情感 表达 。# 同上 一课## 教育 同上一堂课 直播 课堂 中国教育电视台 落实 教育部 停课 停 教 停课 停 学 部署 2月10日起 邀请 北京 多所 名校 名师 ######老师 讲 真好 		######nonrumor
无为 李爷 粗略 算 新 冠 肺炎 死亡率 美国 雄霸 第一 稳定 7% 。目测 降低 死亡率 明天 美国 大幅 增加 确诊 人数 拭目以待 原图 ######文革 结束 多少年 破事 扔 文革。 	确诊 人数 大幅 增加 	芳芳 发 文章 ######nonrumor
历下 检察 【#外交部 回应 美 主持人 中国 疫情 道歉 美国 1N 流感 道歉 3月5日 外交部 例会 记者 美国福克斯电视台 主持人 沃特斯 中国 新 冠 肺炎 疫情 道歉 一事 提问 对此 发言人 赵立坚 回应 中 主持人 言论 荒谬 可笑 暴露 中国 傲慢 偏见 无知。 赵立坚 想 几点 第一， 疾病 人类 公敌 各国 患病 都是 受害者 不知道 “道歉论” 说起 世界 各国 努力 携手 抗击 新 冠 肺炎 疫情 世界卫生组织 ，污名化 病毒 危险 个别人 散布 逻辑 言论 ，居心何在 ？第二，“ 中国 道歉 道理 病毒 源自 尚无定论。 病毒 源自 中国 疫情 国家 都是 病毒 受害者 面临 阻击 疫情 蔓延 挑战 2009年 美国 爆发 1N 流感 蔓延 214个 国家 地区 当年 导致 至少 18449 死亡 美国 道歉 第三， 中国 抗疫 体现 负 责任 大国 应有 担当 疫情 防控 中 中国 力量 中国 效率 中国 速度 国际社会 赞誉 世界 各国 健康 中国 付出 牺牲 做出 贡献 全球 170多个 国家 领导 人和 40多个 国际地区 组织 负责人 中国 领导人 来函 来电 发表 声明 慰问 支持 中国 抗疫 举措 成效 阻止 疫情 蔓延 做出 牺牲 予以 高度 肯定 世界卫生组织 总干事 谭德赛 指出 中国 强有力 举措 控制 疫情 中国 境内 扩散 阻止 疫情 国家 蔓延 世界 各国 抗击 疫情 树立 新 标杆 ######微博 	微博 	微博 ######nonrumor
3.5日 打卡 总共 60min 经济学人 一页 ）an AG（  心情 ）TED（ 讲 肺炎相关） 可可英语 早起 吃 早饭  豆浆 打卡 五天 喝 冰 牛奶 心情不好 明天 惹我 怼 死 ######回复 Sheng_iew 不知道 两天 违规  换 成 缩写 	an AG 	######nonrumor
人力资源 研究 上班 工作 区域 做好 疫情 防控 上班 时间 临近 防控 新型 冠状病毒肺炎， 上班 路上 防控 工作 区域 防控 图 告诉  原图 ######上班 受罪 	坐 公共交通工具 没法 上班 	######nonrumor
理由 肺炎 告诉 深刻 道理 干部 选拔 一定要 专业人员管理专业 领域 一群 职业 官僚 跨行 业管理 医疗 卫生 教育 日后 发生 大灾难 时 瞎 指挥 埋下 伏笔 原始 用户 人民日报 内容 【快讯！ 黄冈卫健委 主任 唐志红 免职 黄冈市委 研究 同意 提名 免去 唐志红 同志 主任 职务 免职 法律 办理 黄冈卫健委 主任 提名 免职  原图 ######啊， 心寒 免职 	国 3000年 悠久 传统 变 大会 	######nonrumor
孔明 爆料 疫情 处于 扩散 阶段  江苏 泰州 车主 听从 防疫 工作 人员 劝阻 拿着 一截 棍子 想 阻碍 村庄 工作 人员 动 最新 疫情 地图 聚焦 新型 肺炎 全民 口罩 孔明 爆料 微博 视频 ######肺病 狂犬病 	村里人 叫来 	都是 闲 听 国家 在家 闲着 不好 非得出来 刷 存在感 ######nonrumor
理由 微博 原始 用户 新京报 内容 新 冠病毒 去年12月 发生 人际 传播 1月29日 新 英格兰 医学 期刊 刊登 新型 冠状病毒# 引发 肺炎 疫情 新 论文 作者 中国疾控中心 湖北疾控中心 香港大学 机构 科研 人员 疫情 早期 425例 确诊 病例 分析 最终 得出结论 称 新型 冠状病毒 12月中旬 传人 迹象 文章 解读 速 戳 ######回复 	回复 甄士隐 算 2块 一斤 过年 贵！ 买 西红柿 西蓝花 都是 5块 一斤 	算 贵  评论 配图 ######nonrumor
聊城 街坊 世界卫生组织 WHO 日内瓦 总部 紧急 会议 确认 中国 爆发 新型 冠状病毒 感染 肺炎 疫情 暂时 国际 关注 紧急公共卫生事件 ”（PHEIC） 中国 加油 ！    时差视频 微博 视频 ######夜深 休息 	加油 	听说 博主 发 精彩 博文 ，马不溜秋 赶来 支持 博主 ######nonrumor
萨萨 仙女 热爱 生活 半夜 老爸 肺炎 期间 营养 专家 饮食 建议  吃饱 吃好 节食 减重 画 重点 ######回复 SZdron  只能 吃药 	回复 萨萨 仙女 热爱 生活 好好 保暖 不好 医院 	回复 SZdron  网点 感冒  前 嗓子 疼  鼻子 不舒服 ######nonrumor
猫 传腹 妈 猫 传腹 超话 真 想 放弃 做 爸爸 早晨 肺炎正盛 家里  天天 弄 猫 回头 全家 跟着 遭 殃 。 状态 差 想吃饭 反胃 屎  回到 两个月 前 肠 抽出 状态 11.10分 好心 姐姐 帮 打完 第一针 441 哭 想 害怕 打针 救 放弃 安乐 好想一了百 只能 承担 难受 下午 娃 一点 刚刚 偷 喝 水 下午 嘴 4次  阳台 转悠 3次  吃 3次 饭 尿 2次 舔 毛 洗脸 7分钟 一点 惊喜 嗷嗷 爹 商量 4万 救 ， 命 孩子 不救 对不起 心 组图 6张  原图 ######加油 会好 贵 家 花 三千多 	放弃 家 打完 康复 很好 	买 医院 药 贵 有时候 治 腹 441。 找 药商 买 至少 便宜 ######nonrumor
理由 熟记 河南消防 新 冠肺炎防控#【 正确 洗手 需 六步 洗手法 原始 用户  中国消防 内容 #新冠肺炎防控#【 正确 洗手 需 六步 洗手法 第一步 双手 手心 相互 搓洗 双手 合 十 搓 五下 第二步 双手 交叉 搓洗 手指 缝 手心 对手 背， 双手 交叉 相 叠 左右手 交换 搓洗 五下 第三步 ，手心 对手心 搓洗 手指 缝 手心 十指交错， 搓洗 五下 第四步 指尖 搓洗 手心 左右手 指尖 放 手心 相互 搓洗 搓 五下 第五步 一只手 握住 另一只手 拇指 搓洗 左 右手 搓 五下 第六步 ：弯曲手指 关节 一手 掌心 旋转 揉搓 交换 搓 五下 新 冠 肺炎 防控 知识 手册 新型 冠状病毒# 原图 ######欧克 	截屏 保存 	######nonrumor
罗爷 说法 law 5月1日21时 美国 工作 人员 “漏嘴”： 新 冠 肺炎 或许是 一场 骗局 美国 疫情 继 前两天 突破 100万 赛跑 速度 增长 涨 109万， 可以说 情况 不容 乐观 美国 疫情 同情 祝福 另一边 疑惑 疫情 爆发 程度 医疗 早就 崩 ？明明 医护人员 爆料 称 医疗 物资 坚守 对此 两位 白宫 工作 人员 曝出 猛料 疫情 发布会 两名 工作 人员 提前 现场 麦克风 关 住 肆无忌惮 一番话 开会 戴口罩 防护 措施 前 注射 新 冠 肺炎 疫苗 新 冠 肺炎 致死率 低 0.1% 0.3% 两个人 万万 没想到 一番话 记者 录 一名 工作 人员 开玩笑 话 真 细思 恐 想要 消灭 病毒 研发 疫苗 想要 研发 疫苗 找到 病毒 源头 道 工序 做 疫情 最早 爆发 国家 国 专家 ，疫苗 有望 9月份 研究 美国 几个月 爆发 研发 疫苗 真 细思极恐。 两名 工作 人员 开玩笑 想想 特朗普 参加 一场 会议 两天 新闻 曝出 参加 会议 一名 巴西 感染 新 冠肺炎病毒， 近距离 接触 一名 人员 感染 病毒。 发现 特朗普 近距离 接触 没事 不禁 怀疑 两名 工作 人员 言语 真假 真 新 冠肺炎病毒 真 一场 骗局 对此 话 真 组图 3张  原图 ######美国 疫苗 美国病毒 美国 病毒大流行！ 	就像 当年 珍珠港 事件 美国  装糊涂  战争 美国人 生命 全世界 生命 做 铺垫  燃起 仇 外 情绪 	速速 外交部 ######nonrumor
山东 高 法 审理 新型 冠状病毒 感染 肺炎 疫情 防控 期间 劳动 争议 案件 法律 解答 京法网 事  组图 3张  原图 ######微博 	微博 	微博 ######nonrumor
环球资讯广播 特朗普 成 疫苗 队长 信心 满满 美国 总统 特朗普 4月30日 白宫办公室 记者们 美国 计划 加快 研发 新 冠病毒疫苗， 全权 负责 项目 竭尽所能 不遗余力 。”特朗普 希望 研制 一种 疫苗 见过 速度 研发 记者 问 负责 时 ，特朗普 回答 ：“ 负责 ？老实 特朗普 全权 负责 疫苗 研发 信心 满满 特朗普 此前 围绕 新 冠肺炎 一系列 惊人 言行 美国 网友 怀疑 担心 网友 ：“特朗普 最不 希望 负责 疫苗 特别 考虑到 上周 注射（消毒剂） 言论 ######挣钱 挣 疯了 	川建国 同志 一场 好话 做 一场 空事 	制 疫苗 都一样 ######nonrumor
奶茶咚入机 抗击 肺炎 关爱 医护# 希望 世界 里 付出 一点点 温暖 “守护者 后盾 二期 项目 捐款 成功 北京感恩公益基金会 守护者 后盾 二期 ######淦！ 发 两个 分享 	听说 涨 信用 分 	######nonrumor
陈震 潼华振 服 CEO 美国 新冠 肺炎 确诊 超 106万例 确诊 病例 升至 1066863 例， 累计 死亡 61881例 增长期 还在 延长 旷日 持久 疫情 组图 9张  原图 ######加油 	夜深 休息 	祝 文思 敏捷 ######nonrumor
蓝 脚 鸟 拉美 美国 疫情 当地时间 4月29日 纽约 布鲁克林 居民 报警 称 殡仪馆 卡车 发出 难闻 气味 警察 赶到 发现 四辆 车 约 50具 腐烂 尸体 殡仪馆 负责人 面对 那么多 新 冠 肺炎 死亡 尸体 超出 极限 该市 殡仪馆 。  蓝 脚鸟 拉美 微博 视频 ######意大利 西班牙 记者 	@方方 写 爸爸 素材 	公知， 舔 ######nonrumor
新京报 视频 江西 瑞昌 公安 无人机 劝 市民 扎堆 防控 新 冠 肺炎 疫情 瑞昌公安 采用 无人机 巡视 宣传 2月4日 瑞昌公安 称 ，无人机 投入 三天 时间 日间无人机 出动 宣传 乡镇 小区 巡视 瑞昌公安 无人机 自带 喇叭 操作 人员 喊话 农村 宣传 效果 更好 一点 聚焦 新型 肺炎 ######建议 全国 投放 	感觉 疫情 中 无人机 在线 猿 辅导 成 赢家 	建议 全国 投放 ######nonrumor
金华 直播 间 金华 身边 事 组图 3张  原图 ######义乌 加油 	武汉 加油 中国 加油 	######nonrumor
爱 驻马店 驻马店 爆料 毛 ！驿城区 居民 定点 药店 购买 口罩 近日 ，驿城区 发布 抗击 新型 冠状病毒 防护 口罩 购买 流程 供辖 区内 居民 开具 证明 购买 市民 仔细 阅读 购买 流程 盲目 跟风 哄抢 购买 流程 购买 关注 河南 新 冠 肺炎 疫情 驿城区 抗击 新型 冠状病毒 防护 口罩 购买 流程 一、 提供 服务 药店 雪松街道办事处 辖区 新华街道办事处 辖区 总店 地址 ：乐山路 雪松路 交叉口 东南 角） 提供 服务 。2 东风街道办事处 辖区 南海街道办事处 辖区 铁东店 地址 中华路 南海路 交叉口 西南 角） 提供 服务 人民街道办事处 辖区 老街街道办事处 辖区 中华路 药房 地址 中华路 骏马路 交叉口 东 100米 路 北 提供 服务 、 橡林街道办事处 辖区 西园街道办事处 辖区 店 地址 ：天 中山大道 解放路 交叉口 西 100米 路南） 提供 服务 街道办事处 购买 防护 口罩 数量 常住 人口 分配 雪松街道办事处 1710个 2、 新华街道办事处 1620个 东风街道办事处 2660个 南海街道办事处 1120个 5、 人民街道办事处 2760个 6、 老街街道办事处 2600个 7、 橡林街道办事处 4050个 8、 西园街道办事处 3480个 。三、 购买 流程 四、 价格 出厂价 支 防护 口罩 0.6元 每户 限购 10个 购买 流程 口罩 街道办事处 统一 分配 购买 指标 分发 辖区 社区 社区 街道办事处 开具 证明 购买 社区 统一 供应 社区 居民 居民 自行 前去 药店 购买 购买 口罩 居民 请 等待 社区 统一 供应 原图 ######蚁蜂 没口罩  	农村 口罩 买 街上 药店 一两个 开门 84 酒精 口罩 统统 现状 家里 面 蒸馍 院里 园 薅菜 冰箱 里 3年 货 ，年 前 市里 买 走亲戚 礼 放 一堆 今个 天阴 坐 院里 晒太阳 不知道 家里 蹲 多久 想 口罩 开 大门 家门口 长草 	公众 号 写 误导 明明 社区 买 文章 写 确实 居民 不明不白 想 问 编辑 文章 大学 一点 逻辑性 太 误导 市民 修改 发 ######nonrumor
鑫旅 陈思俊 南山 春风 加油 武汉 加油 中国 陳宏逹 请 接力  原图 ######字 	写字 好看 	######nonrumor
咸鱼 点 扑腾 票圈 照片 找 瞎 叨叨 脸 真人 差 照片 十倍 ，over。 ？？？？？？？ 真 接 肺炎 太 闲 奇奇怪怪 事 ######生 图 美 	？？？ 	######nonrumor
理由 网 武汉 定点 救治 机构 确保 患者 服用 中药 上报 情况 新型 冠状病毒感染 肺炎 诊疗 方案 （试行第三版） 提出 新 冠 肺炎 属 中医 疫病 范畴 病情 气候 患者 体质 情况 参照 相关 方案 辨证论治。 诊疗 方案 ，“本 方案 用于 预防 原始 用户 财新网 内容 武汉 官方 推荐 中药 协定方 供应商 卷入 行贿案】网 武汉 定点 救治 机构 确保 患者 服用 中药 上报 情况 市 卫健委 武汉市 定点 救治 机构 多名 医生 回应 财 新 记者 称 方案 暂未 临床 实施 武汉 官方 推荐 中药 协定方 供应商 卷入 行贿案  原图 ######马延明 妈 签发 	马老师， 肯定 tm 签 	够 气 ######nonrumor
一箩筐 蒲公英 哪有 岁月 静好 只不过 有人 负重 前行 今晚 回老家 爷爷 奶奶 回来 ，路 好多 工作 人员 戴着 口罩 站 路边 测 体温， 冷 下雨  真 太辛苦 。非典 小， 小心 保护 肺炎 ，轮到 90后 保护 又要 值班 冷 下雨 刷 湖南 92年 医生 哥哥 猝死 新闻 好难过 担心 希望 疫情 赶紧 2020 发现 城市 更多美  组图 4张  原图 ######回复 曾晓文 这年头 女人 话 信 	回复 一箩筐 蒲公英 害 女子 信 	回复 ickole Orange ######nonrumor
人民网 新 冠 肺炎 最新 动态 山西 一# 男子 疫情 回家 拒绝 居家 隔离 立案 侦查 确诊 隔离 2月4日 山西阳泉市公安局 平安阳泉 发布 警情 通报 称 昨日 依法 周某 （男，阳泉 城区 涉嫌 危险 方法 危害 公共安全罪 立案侦查 。经 查： 1月23日 周某 驾车 湖北省 襄阳市 出发 24日18时 回到 阳泉 民警 社区 工作 人员 依法 依规 告知 居家隔离 情况 周某 拒 执行 卫生防疫 机构 预防 控制 措施 参加 家庭 聚会 公共场所 活动 接触 周某 确诊 新型 冠状病毒感染 肺炎 病例 隔离 收治 周某 违反 中华人民共和国刑法 国家 法律 法规 山西省 阳泉市 新型 冠状病毒感染 肺炎 疫情 防控 工作 领导小组 通告 干扰 破坏 疫情 防控 工作 ，现 周某 涉嫌 危险 方法 危害 公共安全罪 公安机关 立案侦查 相关 措施 案件 进一步 侦查 中 组图 2张  原图 ######好好 做 行 本来 山西 挺 落后 。真 爆发 后果 	自费 指出 瞒报 恶意 ，不得 享受 免费 治疗 接受 惩处 这些人 钱 命 	有头无尾 ######nonrumor
一眼 诱惑 乌鸦 校尉 两天 不知道 社交 媒体 很多人 编 段子， 新 冠 肺炎 疫情 美国 中国  群 公知 骗 美国 口罩 捐 落井下石！ 原图 ######回复 仰望 星空 高级 黑 	回复 一眼 诱惑 捐 物资 最多 美帝 	回复 仰望 星空 屎 妈 ######nonrumor
一眼 千年 新 冠 肺炎 时期 立春日 蛋糕 立春 ，蛋黄酥君 嘚瑟 中国 好姐妹 零点 前 画 礼物 有人 宠 感觉 真好 组图 4张  原图 ######回复 Vicky SHUM 表态 	回复 Vicky SHUM 	回复 言不贪欢 ######nonrumor
楚天交通广播 3月27日 全球 疫情 北京 时间 20日晚23点 海外 新冠 肺炎 确诊 病例 累计 突破 53万， 死亡 病例 累计 超过 2.5万 美国 累计 确诊 病例 突破 10万例 意大利 西班牙 德国 法国 伊朗 增长 依然 很快 意大利 西班牙 死亡 病例 持续 增加 数字 见图 组图 4张  原图 ######天 	都是 鲜活 生命 	潘多拉 魔盒 已然 打开 ，普罗 大众 身陷 劫 难 ######nonrumor
价值 投资 日志 中国 白： 伸出 援手 引来 非议，虽非我本意， 无可奈何 中国 句 俗话 送给 熟悉 中国 外籍 人士 ：帮 情分 帮 本分 德国 每日镜报 评价 中国 出手 支援 欧洲 抗疫 每个人 明白 一个人 落水者 伸出 援手时 动机 认可 褒奖 依然 拯救 生命 足够 中国 美国 新冠 肺炎 确诊 人数 超 10万## 新 冠 特效药 多远 罩 返校 平安# 原图 ######德国 声 帮 中国 说话 西方 百姓 中国 偏见 仇恨 空前 高度 	中国 国际 地位 空前 提高 	救 命 ######nonrumor
邱政政 美国 疫情 位于 美国 纽约 哥伦比亚大学医学院 学生 提前 毕业 踏上 战场 ”。” 新 冠 肺炎 最新 动态 世卫组织 称 美国 成 全球 疫情 震中 哥伦比亚大学 超话  原图 ######送 死去 	足够 护具 等于 集团 送死 	祝 平安！ 世界 加油 ######nonrumor
菜鸟 军虫 菜鸟 军虫 超话 中巴友谊万岁！【# 巴基斯坦 外长 接机 中国 专家 医疗队 全球 新 冠 肺炎 确诊 病例 突破 50万# 巴铁， 当地时间 28日下午 中国 援助 巴基斯坦 专家 医疗队 抵达 巴基斯坦 首都 伊斯兰堡 。巴基斯坦 外长 库雷希 多位 政府 官员 停机坪等候。 专机 带来 物资 包括 10万只 医用 口罩 医用 防护服 核酸 检测 试剂 ######回复 菜鸟 军虫 巴铁 一定要 援助 美国 援助 美国 白眼 狼 全人类 白眼 狼。 	回复 平常心 49490 	回复 平常心 49490 巴基斯坦 穷 肯定 ######nonrumor
莆田 网事 上海 药物 武汉病毒所 联合 发现 ：#双黄连 抑制 新型 冠状病毒 31日 获悉 该所 武汉病毒所 联合 研究 初步 发现 抑制 新型 冠状病毒 此前 上海 药物 启动 蒋华良 院士 牵头 抗 新型 冠状病毒 感染 肺炎 药物 研究 应急 攻关 团队 前期 SARS 相关 研究 药物 发现 成果 基础 聚焦 病毒 治疗 候选 新药 筛选 评价 药 新用 研究 。双黄连口服液 中药 中医 三味 中药 清热 解毒 、表 里 双 清 作用 医学 研究 ，双黄连口服液 广谱 抗病毒、抑菌、 提高 机体 免疫功能 作用 广谱 抗病毒药物 上海药物所 长期 抗病毒 药物 研究 2003年 “非典” 期间 上海药物所 左建平 团队 率先 证实 双黄连口服液 抗SARS 冠状病毒 作用 十余年 陆续 证实 双黄连口服液 急性呼吸综合征 冠状病毒、 中东 呼吸综合征 冠状病毒 抗病毒效应。 ，双黄连口服液 临床 研究 新华社 原图 ######药三分毒 没事儿 吃 乖乖 家里 	明天 又要 脱销 	妈 咳嗽 正好 买 双黄连口服液… ######nonrumor
竹笙默 双黄 抑制 新型 放屁 新 冠 肺炎 特效药 包括 前段 时间 抗HIV 药 推荐 药 瞎扯 乱 吃药 中药 临床 吃 中药 吃 肝 衰竭 病例 太多 太多 ######懂 还好 一点 ，像 懂得 风声鹤唳 刚刚 淘宝 双黄 卖 空 	寻思 信 信  放屁 	患者 喝 中药 中药 伤 身， 慢慢 肝 损害 ######nonrumor
宋中清 主任 律师 肺炎 超话 美国 应对 新 冠 疫情 中国 糟糕 100倍## 新 冠肺炎# @ 王冰汝  美国 忙 抗议 忘 “抗疫”？ 60岁 前 驻华 大使 洪博培 确认 新冠 感染 好多 人才 回 神 美国 新冠 疫情 过去两周 美国 21个 州 新冠 确诊 人数 至少 9个 州 激增 亚利桑那州 上周 创下 超过 1200 病例 纪录 死亡人数 增加 30% 医疗 系统 中 重症 监护 病房 床位 接近 极限 得克萨斯州 住院 人数 8日 打破 前 1888 记录 过去两周 州 新冠 病例 增加 71% 华盛顿 忘记 新 冠，白宫 新冠 工作组 一个月 开 记者 。特朗普 女婿 库什纳 私下 同事 保证 新 冠 疫情 掌控 中 第二波 感染 公号 更新 （搜# 冰汝 美国 #） 确诊 ，特朗普 一点 担心  组图 4张  原图 ######苦 		太 优秀 好喜欢 ######nonrumor
